key,question,dialogTrue,dialogFalse
story1_question_2_8,이 조준이 결말로 이어질 것 같은 긴장을 만들어냈는가?,story1_2_8_0,story1_2_8_1
story1_question_2_9,이후에 싸움이 날 법한 상황으로 보이는가?,story1_2_9_0,story1_2_9_1
story1_question_2_10,"놀람이라는 감정은, 육체적 충격 때문인가 정신적 충격 때문인가?",story1_2_10_0,story1_2_10_1
story1_question_2_11,주인공이 맞은 총알은 정면에서 날아온 것으로 보이는가?,story1_2_11_0,story1_2_11_1
story1_question_3_0,적의 총구가 정확히 누구를 향하고 있었는가?,story1_3_0_0,story1_3_0_1
story1_question_3_1,적이 총을 겨눈 표정에서 감정이 드러났는가?,story1_3_1_0,story1_3_1_1
story1_question_3_2,적의 조준이 훈련된 자세로 보이는가?,story1_3_2_0,story1_3_2_1
story1_question_3_3,적은 조용히 기회를 엿보는 느낌이었는가?,story1_3_3_0,story1_3_3_1
story1_question_3_4,적의 조준은 즉흥적으로 보이는가?,story1_3_4_0,story1_3_4_1
story1_question_3_5,총을 들기 전에 대화가 있었을 법한 분위기인가?,story1_3_5_0,story1_3_5_1
story1_question_3_6,상대가 등장하자 바로 조준한 것인가?,story1_3_6_0,story1_3_6_1
story1_question_3_7,조준 중인 캐릭터에게 감정의 동요가 있나?,story1_3_7_0,story1_3_7_1
story1_question_3_8,이 장면이 충돌의 시작점처럼 보이나?,story1_3_8_0,story1_3_8_1
story1_question_3_9,이 장면이 매복의 시작 혹은 끝으로 보이나?,story1_3_9_0,story1_3_9_1
story1_question_3_10,인물의 주변 환경이 공격을 위한 배경처럼 느껴졌는가?,story1_3_10_0,story1_3_10_1
story1_question_3_11,총을 겨눈 자가 말없이 공격하려는 인상인가?,story1_3_11_0,story1_3_11_1
story1_question_4_0,이 장면 이전에 이미 총성이 있었던 흔적이 보이는가?,story1_4_0_0,story1_4_0_1
story1_question_4_1,두 사람의 표정에서 피로감이나 상처는 감지되는가?,story1_4_1_0,story1_4_1_1
story1_question_4_2,"총을 겨누는 자세가 방어적인가, 공격적인가?",story1_4_2_0,story1_4_2_1
story1_question_4_3,주변에 다른 인물의 흔적이나 싸움의 흔적이 있는가?,story1_4_3_0,story1_4_3_1
story1_question_4_4,두 사람이 서로를 알아보는 듯한 기색이 있는가?,story1_4_4_0,story1_4_4_1
story1_question_4_5,이 장면 직전에 심리적 갈등이 있었던 듯한 인상이 드는가?,story1_4_5_0,story1_4_5_1
story1_question_4_6,"서로가 동시에 겨눈 건가, 아니면 한쪽이 먼저였나?",story1_4_6_0,story1_4_6_1
story1_question_4_7,총구를 겨누는 와중에도 대화가 오갔을 법한 분위기인가?,story1_4_7_0,story1_4_7_1
story1_question_4_8,이 장면이 결말에 가까운 감정의 폭발처럼 느껴지는가?,story1_4_8_0,story1_4_8_1
story1_question_4_9,누군가 먼저 총을 내릴 가능성이 있어 보이는가?,story1_4_9_0,story1_4_9_1
story1_question_4_10,두 인물의 거리나 주변 환경이 충돌 직전의 분위기를 강화하고 있는가?,story1_4_10_0,story1_4_10_1
story1_question_4_11,이 장면이 앞선 다른 장면과 감정적으로 연결되는 지점이 있는가?,story1_4_11_0,story1_4_11_1
